Year,County,Hospital,Surgery,Cases
2013,,Statewide,COLON,7128
2013,,Statewide,BLADDER,892
2013,,Statewide,RECTUM,2128
2013,,Statewide,BREAST,25829
2013,,Statewide,BRAIN,2719
2013,,Statewide,PANCREAS,819
2013,,Statewide,LUNG,3145
2013,,Statewide,LIVER,1159
2013,,Statewide,ESOPHAGUS,337
2013,,Statewide,STOMACH,1010
2013,,Statewide,PROSTATE,6145
2013,Alameda,Alameda Hospital,STOMACH,1
2013,Alameda,Alameda Hospital,COLON,3
2013,Alameda,Alameda Hospital,BREAST,2
2013,Alameda,Alta Bates Summit Medical Center - Alta Bates Campus,BRAIN,8
2013,Alameda,Alta Bates Summit Medical Center - Alta Bates Campus,COLON,12
2013,Alameda,Alta Bates Summit Medical Center - Alta Bates Campus,PROSTATE,4
2013,Alameda,Alta Bates Summit Medical Center - Alta Bates Campus,ESOPHAGUS,1
2013,Alameda,Alta Bates Summit Medical Center - Alta Bates Campus,BREAST,95
2013,Alameda,Alta Bates Summit Medical Center - Alta Bates Campus,RECTUM,2
2013,Alameda,Alta Bates Summit Medical Center - Alta Bates Campus,LUNG,6
2013,Alameda,Highland Hospital,STOMACH,3
2013,Alameda,Highland Hospital,PANCREAS,1
2013,Alameda,Highland Hospital,RECTUM,6
2013,Alameda,Highland Hospital,LUNG,12
2013,Alameda,Highland Hospital,ESOPHAGUS,2
2013,Alameda,Highland Hospital,COLON,22
2013,Alameda,Highland Hospital,BREAST,34
2013,Alameda,Highland Hospital,BRAIN,1
2013,Alameda,Highland Hospital,PROSTATE,8
2013,Alameda,Kaiser Foundation Hospital - Oakland Campus,BREAST,293
2013,Alameda,Kaiser Foundation Hospital - Oakland Campus,COLON,74
2013,Alameda,Kaiser Foundation Hospital - Oakland Campus,RECTUM,24
2013,Alameda,Kaiser Foundation Hospital - Oakland Campus,LIVER,13
2013,Alameda,Kaiser Foundation Hospital - Oakland Campus,PROSTATE,59
2013,Alameda,Kaiser Foundation Hospital - Oakland Campus,BLADDER,21
2013,Alameda,Kaiser Foundation Hospital - Oakland Campus,STOMACH,14
2013,Alameda,Kaiser Foundation Hospital - Oakland Campus,ESOPHAGUS,14
2013,Alameda,Kaiser Foundation Hospital - Oakland Campus,LUNG,46
2013,Alameda,Kaiser Foundation Hospital - Oakland Campus,PANCREAS,12
2013,Alameda,Kaiser Foundation Hospital - Hayward,ESOPHAGUS,1
2013,Alameda,Kaiser Foundation Hospital - Hayward,PROSTATE,2
2013,Alameda,Kaiser Foundation Hospital - Hayward,BREAST,194
2013,Alameda,Kaiser Foundation Hospital - Hayward,STOMACH,7
2013,Alameda,Kaiser Foundation Hospital - Hayward,LIVER,10
2013,Alameda,Kaiser Foundation Hospital - Hayward,RECTUM,19
2013,Alameda,Kaiser Foundation Hospital - Hayward,COLON,43
2013,Alameda,Kaiser Foundation Hospital - Hayward,BLADDER,9
2013,Alameda,Kaiser Foundation Hospital - Hayward,PANCREAS,6
2013,Alameda,Kaiser Foundation Hospital - Hayward,LUNG,21
2013,Alameda,Alta Bates Summit Medical Center - Summit Campus - Hawthorne,RECTUM,14
2013,Alameda,Alta Bates Summit Medical Center - Summit Campus - Hawthorne,LUNG,22
2013,Alameda,Alta Bates Summit Medical Center - Summit Campus - Hawthorne,COLON,43
2013,Alameda,Alta Bates Summit Medical Center - Summit Campus - Hawthorne,PANCREAS,10
2013,Alameda,Alta Bates Summit Medical Center - Summit Campus - Hawthorne,STOMACH,11
2013,Alameda,Alta Bates Summit Medical Center - Summit Campus - Hawthorne,LIVER,7
2013,Alameda,Alta Bates Summit Medical Center - Summit Campus - Hawthorne,BREAST,208
2013,Alameda,Alta Bates Summit Medical Center - Summit Campus - Hawthorne,ESOPHAGUS,2
2013,Alameda,Alta Bates Summit Medical Center - Summit Campus - Hawthorne,PROSTATE,19
2013,Alameda,Saint Rose Hospital,LIVER,1
2013,Alameda,Saint Rose Hospital,PROSTATE,1
2013,Alameda,Saint Rose Hospital,BREAST,17
2013,Alameda,Saint Rose Hospital,BLADDER,1
2013,Alameda,Saint Rose Hospital,RECTUM,3
2013,Alameda,Saint Rose Hospital,COLON,7
2013,Alameda,Washington Hospital - Fremont,BREAST,39
2013,Alameda,Washington Hospital - Fremont,RECTUM,5
2013,Alameda,Washington Hospital - Fremont,LUNG,3
2013,Alameda,Washington Hospital - Fremont,ESOPHAGUS,1
2013,Alameda,Washington Hospital - Fremont,PROSTATE,3
2013,Alameda,Washington Hospital - Fremont,BRAIN,7
2013,Alameda,Washington Hospital - Fremont,COLON,24
2013,Alameda,Washington Hospital - Fremont,STOMACH,2
2013,Alameda,San Leandro Hospital,BREAST,20
2013,Alameda,San Leandro Hospital,RECTUM,1
2013,Alameda,San Leandro Hospital,COLON,8
2013,Alameda,Valleycare Medical Center,STOMACH,1
2013,Alameda,Valleycare Medical Center,LUNG,3
2013,Alameda,Valleycare Medical Center,BREAST,64
2013,Alameda,Valleycare Medical Center,ESOPHAGUS,3
2013,Alameda,Valleycare Medical Center,RECTUM,5
2013,Alameda,Valleycare Medical Center,COLON,25
2013,Alameda,Eden Medical Center,BLADDER,1
2013,Alameda,Eden Medical Center,BREAST,54
2013,Alameda,Eden Medical Center,COLON,13
2013,Alameda,Eden Medical Center,STOMACH,1
2013,Alameda,Eden Medical Center,LIVER,1
2013,Alameda,Eden Medical Center,PANCREAS,1
2013,Alameda,Eden Medical Center,BRAIN,27
2013,Alameda,Eden Medical Center,RECTUM,3
2013,Alameda,Eden Medical Center,PROSTATE,3
2013,Alameda,Eden Medical Center,LUNG,10
2013,Amador,Sutter Amador Hospital,COLON,7
2013,Amador,Sutter Amador Hospital,BREAST,3
2013,Butte,Biggs Gridley Memorial Hospital,COLON,2
2013,Butte,Feather River Hospital,BREAST,48
2013,Butte,Feather River Hospital,RECTUM,3
2013,Butte,Feather River Hospital,COLON,14
2013,Butte,Feather River Hospital,LUNG,4
2013,Butte,Oroville Hospital,BREAST,28
2013,Butte,Oroville Hospital,STOMACH,1
2013,Butte,Oroville Hospital,PROSTATE,13
2013,Butte,Oroville Hospital,RECTUM,1
2013,Butte,Oroville Hospital,LUNG,1
2013,Butte,Oroville Hospital,COLON,12
2013,Butte,Enloe Medical Center - Esplanade,RECTUM,7
2013,Butte,Enloe Medical Center - Esplanade,COLON,41
2013,Butte,Enloe Medical Center - Esplanade,STOMACH,1
2013,Butte,Enloe Medical Center - Esplanade,LUNG,14
2013,Butte,Enloe Medical Center - Esplanade,BRAIN,6
2013,Butte,Enloe Medical Center - Esplanade,BREAST,158
2013,Butte,Enloe Medical Center - Esplanade,BLADDER,4
